density,population,county_name,county_code,poverty_total,poverty_percent,household_income,household_income_to_state,rural_urban_continum,urban_influence,education_1,education_2,education_3,education_4,education_1_percent,education_2_percent,education_3_percent,education_4_percent
308.47687444,180786,"Kent County, Delaware",10001,22195,0.127,58804,0.836,3,2,14834,38843,36347,28030,0.125654364,0.329027405,0.307884521,0.23743372
1310.6490387,558753,"New Castle County, Delaware",10003,56289,0.104,76076,1.081,1,1,32032,118233,94434,138627,0.083563337,0.308439808,0.246354275,0.36164257
250.20481554,234225,"Sussex County, Delaware",10005,27742,0.121,64839,0.922,2,2,19950,52373,48136,47481,0.118792429,0.311855431,0.286626167,0.282725983
11543.999939,705749,"District of Columbia, District of Columbia",11001,94985,0.141,90395,1,1,1,44850,83185,76822,289259,0.090768156,0.168351154,0.155473614,0.585407066
307.28851819,269043,"Alachua County, Florida",12001,46916,0.184,49880,0.843,2,2,11957,34349,45426,70092,0.073888917,0.212261467,0.280712376,0.433137245
49.911990836,29210,"Baker County, Florida",12003,3914,0.149,60454,1.021,1,1,2726,8115,5699,2525,0.142984524,0.425649109,0.298924732,0.132441645
230.30172695,174705,"Bay County, Florida",12005,20643,0.121,58376,0.986,3,2,11994,39827,46154,30463,0.093383579,0.310087357,0.359348488,0.237180576
95.933656468,28201,"Bradford County, Florida",12007,5011,0.21,47509,0.8029999999999999,6,4,4049,8036,5835,1959,0.20368227,0.404245682,0.293525829,0.0985462
593.05632145,601942,"Brevard County, Florida",12009,55578,0.094,57582,0.973,2,2,33886,122936,146837,131166,0.077930202,0.282725239,0.337692184,0.301652393
1623.499921,1952778,"Broward County, Florida",12011,237486,0.123,61429,1.038,1,1,150481,372500,397726,441489,0.110469418,0.273455505,0.291974144,0.324100952
24.861791115,14105,"Calhoun County, Florida",12013,2508,0.203,41399,0.6990000000000001,6,6,2431,4375,2717,1001,0.230995827,0.415716476,0.258171806,0.095115929
277.35736469,188910,"Charlotte County, Florida",12015,21188,0.114,54756,0.925,3,2,14035,51644,48724,35031,0.093921061,0.345597382,0.326056976,0.234424553
257.18197519,149657,"Citrus County, Florida",12017,22291,0.152,49762,0.841,3,2,13432,42963,37992,21141,0.116266184,0.371883888,0.328855324,0.182994595
362.63057436,219252,"Clay County, Florida",12019,18095,0.083,75776,1.28,1,1,11852,44850,51802,36062,0.081983318,0.310238914,0.358327675,0.249450073
192.74608394,384902,"Collier County, Florida",12021,35928,0.094,76415,1.291,2,2,36295,72916,70200,102709,0.128650932,0.258457394,0.24883028,0.364061394
89.882616434,71686,"Columbia County, Florida",12023,10338,0.156,47087,0.795,4,3,6721,17782,16754,7198,0.138706017,0.366979675,0.345764122,0.148550205
59.684954353,38001,"DeSoto County, Florida",12027,7626,0.218,41673,0.7040000000000001,6,5,6993,11586,4806,3049,0.26454567,0.438299179,0.181811295,0.115343876
23.862999057,16826,"Dixie County, Florida",12029,3338,0.222,39793,0.672,6,7,2701,5420,3104,1302,0.215614281,0.432665443,0.247784786,0.103935499
1255.8590575,957755,"Duval County, Florida",12031,126963,0.135,58339,0.985,1,1,65245,177939,204275,192175,0.102003641,0.278188782,0.319362316,0.300445251
484.51894692,318316,"Escambia County, Florida",12033,46519,0.155,52822,0.892,2,2,20096,57442,77512,56000,0.095219145,0.27217247,0.36726841,0.265339966
237.20947675,115081,"Flagler County, Florida",12035,11049,0.097,62831,1.061,2,2,6514,28792,27508,21038,0.077684493,0.34336689,0.328054199,0.250894432
22.24195612,12125,"Franklin County, Florida",12037,1995,0.192,47504,0.802,6,6,1764,3154,2493,1712,0.193357449,0.345719604,0.273265381,0.187657566
88.435431486,45660,"Gadsden County, Florida",12039,8472,0.197,42975,0.726,2,2,6485,11639,8812,5215,0.201704464,0.362010498,0.27408166899999997,0.16220335
53.137750778,18582,"Gilchrist County, Florida",12041,2601,0.15,46171,0.78,2,2,1793,5168,3666,1642,0.14614068,0.421224213,0.298801861,0.133833237
17.123165499,13811,"Glades County, Florida",12043,2377,0.193,45412,0.767,6,4,2604,3902,2567,1139,0.254994125,0.382099495,0.251370945,0.111535444
