county_code,state,county,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,poverty_total,poverty_percent
0,US,United States,,,"39,490,096",0.123
1000,AL,Alabama,,,"747,478",0.156
1001,AL,Autauga County,2,2,"6,723",0.121
1003,AL,Baldwin County,3,2,"22,360",0.101
1005,AL,Barbour County,6,6,"5,909",0.271
1007,AL,Bibb County,1,1,"4,101",0.203
1009,AL,Blount County,1,1,"9,324",0.163
1011,AL,Bullock County,6,6,"2,537",0.3
1013,AL,Butler County,6,6,"4,124",0.216
1015,AL,Calhoun County,3,2,"18,988",0.172
1017,AL,Chambers County,6,5,"6,415",0.196
1019,AL,Cherokee County,6,6,"4,121",0.159
1021,AL,Chilton County,1,1,"7,044",0.16
1023,AL,Choctaw County,9,10,"2,811",0.226
1025,AL,Clarke County,7,11,"4,281",0.184
1027,AL,Clay County,9,10,"2,156",0.166
1029,AL,Cleburne County,8,4,"1,945",0.133
1031,AL,Coffee County,4,5,"7,734",0.15
1033,AL,Colbert County,3,2,"7,998",0.146
1035,AL,Conecuh County,7,11,"2,662",0.222
1037,AL,Coosa County,8,3,"1,789",0.171
1039,AL,Covington County,6,6,"6,269",0.172
1041,AL,Crenshaw County,8,6,"2,289",0.168
1043,AL,Cullman County,4,3,"10,088",0.122
1045,AL,Dale County,4,5,"8,727",0.181
1047,AL,Dallas County,4,5,"9,533",0.26
1049,AL,DeKalb County,6,6,"12,848",0.182
1051,AL,Elmore County,2,2,"8,753",0.114
1053,AL,Escambia County,6,6,"6,980",0.205
1055,AL,Etowah County,3,2,"18,801",0.188
1057,AL,Fayette County,6,6,"2,721",0.17
1059,AL,Franklin County,6,6,"4,989",0.161
1061,AL,Geneva County,3,2,"4,180",0.161
1063,AL,Greene County,8,6,"2,553",0.317
1065,AL,Hale County,3,2,"2,956",0.205
1067,AL,Henry County,3,2,"2,919",0.172
1069,AL,Houston County,3,2,"20,207",0.194
1071,AL,Jackson County,6,5,"7,481",0.147
1073,AL,Jefferson County,1,1,"104,288",0.162
1075,AL,Lamar County,8,7,"2,070",0.153
1077,AL,Lauderdale County,3,2,"14,193",0.157
1079,AL,Lawrence County,3,2,"5,773",0.177
1081,AL,Lee County,3,2,"24,731",0.155
1083,AL,Limestone County,2,2,"11,535",0.12
1085,AL,Lowndes County,2,2,"2,555",0.266
1087,AL,Macon County,6,6,"4,817",0.293
1089,AL,Madison County,2,2,"41,789",0.115
1091,AL,Marengo County,7,11,"4,601",0.248
1093,AL,Marion County,7,11,"4,883",0.169
1095,AL,Marshall County,4,5,"14,989",0.157
1097,AL,Mobile County,2,2,"71,784",0.177
1099,AL,Monroe County,7,11,"4,770",0.233
1101,AL,Montgomery County,2,2,"34,268",0.158
1103,AL,Morgan County,3,2,"16,146",0.137
1105,AL,Perry County,8,4,"2,778",0.339
1107,AL,Pickens County,3,2,"4,380",0.243
1109,AL,Pike County,6,5,"6,742",0.218
1111,AL,Randolph County,6,4,"3,906",0.175
1113,AL,Russell County,2,2,"10,823",0.189
1115,AL,St. Clair County,1,1,"9,780",0.112
1117,AL,Shelby County,1,1,"13,428",0.062
1119,AL,Sumter County,8,6,"4,195",0.364
1121,AL,Talladega County,4,3,"13,326",0.174
1123,AL,Tallapoosa County,6,6,"6,341",0.16
1125,AL,Tuscaloosa County,3,2,"32,226",0.162
1127,AL,Walker County,1,1,"10,837",0.173
1129,AL,Washington County,8,7,"2,998",0.186
1131,AL,Wilcox County,9,10,"3,329",0.325
1133,AL,Winston County,6,4,"3,882",0.167
2000,AK,Alaska,,,"73,033",0.102
2013,AK,Aleutians East Borough,9,12,492,0.148
2016,AK,Aleutians West Census Area,9,11,414,0.076
2020,AK,Anchorage Borough,2,2,"26,636",0.095
2050,AK,Bethel Census Area,7,11,"4,249",0.235
2060,AK,Bristol Bay Borough,9,12,80,0.098
2068,AK,Denali Borough,8,7,132,0.066
2070,AK,Dillingham Census Area,9,12,883,0.181
2090,AK,Fairbanks North Star Borough,3,2,"6,656",0.072
2100,AK,Haines Borough,9,12,247,0.098
2105,AK,Hoonah-Angoon Census Area,9,10,336,0.157
2110,AK,Juneau Borough,5,8,"1,951",0.063
2122,AK,Kenai Peninsula Borough,7,11,"5,966",0.104
2130,AK,Ketchikan Gateway Borough,7,8,"1,283",0.094
2150,AK,Kodiak Island Borough,7,11,909,0.071
2158,AK,Kusilvak Census Area,9,12,"2,217",0.268
2164,AK,Lake and Peninsula Borough,9,12,275,0.174
2170,AK,Matanuska-Susitna Borough,2,2,"10,142",0.096
2180,AK,Nome Census Area,7,11,"2,033",0.207
2185,AK,North Slope Borough,7,11,"1,109",0.114
2188,AK,Northwest Arctic Borough,7,11,"1,805",0.24
2195,AK,Petersburg Borough,9,11,219,0.067
2198,AK,Prince of Wales-Hyder Census Area,9,10,"1,085",0.176
2220,AK,Sitka Borough,7,11,672,0.081
2230,AK,Skagway Municipality,9,12,47,0.04
2240,AK,Southeast Fairbanks Census Area,9,12,823,0.12
2261,AK,Valdez-Cordova Census Area,9,11,781,0.086
2275,AK,Wrangell City and Borough,9,12,240,0.097
2282,AK,Yakutat Borough,9,12,85,0.147
2290,AK,Yukon-Koyukuk Census Area,9,12,"1,266",0.244
4000,AZ,Arizona,,,"963,007",0.135
4001,AZ,Apache County,6,6,"23,680",0.334
4003,AZ,Cochise County,3,2,"20,172",0.166
4005,AZ,Coconino County,3,2,"20,817",0.159
4007,AZ,Gila County,4,3,"11,219",0.211
4009,AZ,Graham County,7,8,"7,207",0.201
4011,AZ,Greenlee County,7,9,876,0.093
4012,AZ,La Paz County,6,4,"4,593",0.221
4013,AZ,Maricopa County,1,1,"539,670",0.122
4015,AZ,Mohave County,3,2,"33,183",0.16
4017,AZ,Navajo County,4,5,"27,440",0.252
4019,AZ,Pima County,2,2,"142,859",0.14
4021,AZ,Pinal County,1,1,"52,975",0.121
4023,AZ,Santa Cruz County,4,5,"8,688",0.188
4025,AZ,Yavapai County,3,2,"27,845",0.12
4027,AZ,Yuma County,3,2,"41,782",0.204
5000,AR,Arkansas,,,"468,575",0.16
5001,AR,Arkansas County,6,6,"2,714",0.158
5003,AR,Ashley County,7,11,"3,603",0.185
5005,AR,Baxter County,7,8,"5,248",0.127
5007,AR,Benton County,2,2,"24,525",0.089
5009,AR,Boone County,7,8,"5,572",0.151
5011,AR,Bradley County,7,9,"2,426",0.229
5013,AR,Calhoun County,9,8,771,0.154
5015,AR,Carroll County,6,6,"4,118",0.147
5017,AR,Chicot County,7,9,"2,900",0.31
5019,AR,Clark County,7,8,"3,971",0.206
5021,AR,Clay County,7,9,"2,691",0.187
5023,AR,Cleburne County,6,6,"3,452",0.141
5025,AR,Cleveland County,3,2,"1,080",0.137
5027,AR,Columbia County,7,8,"4,509",0.212
5029,AR,Conway County,6,6,"3,215",0.156
5031,AR,Craighead County,3,2,"17,960",0.169
5033,AR,Crawford County,2,2,"11,436",0.183
5035,AR,Crittenden County,1,1,"10,520",0.224
5037,AR,Cross County,6,4,"2,874",0.178
5039,AR,Dallas County,6,6,"1,241",0.188
5041,AR,Desha County,6,6,"2,859",0.254
5043,AR,Drew County,6,6,"3,191",0.185
5045,AR,Faulkner County,2,2,"17,459",0.144
5047,AR,Franklin County,6,6,"2,830",0.162
5049,AR,Fulton County,9,9,"2,169",0.177
5051,AR,Garland County,3,2,"16,532",0.169
5053,AR,Grant County,2,2,"2,189",0.121
5055,AR,Greene County,4,5,"6,925",0.155
5057,AR,Hempstead County,6,6,"3,930",0.185
5059,AR,Hot Spring County,6,5,"6,322",0.202
5061,AR,Howard County,6,6,"2,176",0.168
5063,AR,Independence County,7,8,"5,852",0.159
5065,AR,Izard County,9,10,"2,003",0.159
5067,AR,Jackson County,6,6,"3,313",0.229
5069,AR,Jefferson County,3,2,"14,942",0.244
5071,AR,Johnson County,7,9,"4,521",0.175
5073,AR,Lafayette County,8,7,"1,655",0.255
5075,AR,Lawrence County,6,6,"2,887",0.184
5077,AR,Lee County,7,9,"2,515",0.354
5079,AR,Lincoln County,3,2,"2,567",0.271
5081,AR,Little River County,3,2,"2,157",0.178
5083,AR,Logan County,6,6,"3,640",0.174
5085,AR,Lonoke County,2,2,"7,760",0.107
5087,AR,Madison County,2,2,"2,699",0.164
5089,AR,Marion County,9,10,"2,687",0.163
5091,AR,Miller County,3,2,"5,909",0.141
5093,AR,Mississippi County,4,3,"9,128",0.23
5095,AR,Monroe County,7,9,"1,681",0.255
5097,AR,Montgomery County,8,7,"1,756",0.199
5099,AR,Nevada County,7,9,"1,951",0.241
5101,AR,Newton County,9,8,"1,386",0.181
5103,AR,Ouachita County,7,8,"3,969",0.173
5105,AR,Perry County,2,2,"1,710",0.165
5107,AR,Phillips County,6,3,"5,841",0.333
5109,AR,Pike County,9,10,"1,769",0.169
5111,AR,Poinsett County,3,2,"5,339",0.231
5113,AR,Polk County,7,11,"3,991",0.202
5115,AR,Pope County,5,8,"10,218",0.169
5117,AR,Prairie County,8,7,"1,190",0.15
5119,AR,Pulaski County,2,2,"56,020",0.146
5121,AR,Randolph County,7,9,"3,036",0.173
5123,AR,St. Francis County,6,3,"6,679",0.32
5125,AR,Saline County,2,2,"11,665",0.096
5127,AR,Scott County,6,6,"1,983",0.196
5129,AR,Searcy County,9,10,"1,740",0.224
5131,AR,Sebastian County,2,2,"19,923",0.159
5133,AR,Sevier County,6,6,"2,962",0.177
5135,AR,Sharp County,7,9,"4,007",0.233
5137,AR,Stone County,9,9,"2,378",0.193
5139,AR,Union County,7,8,"7,216",0.189
5141,AR,Van Buren County,8,6,"3,235",0.199
5143,AR,Washington County,2,2,"34,731",0.151
5145,AR,White County,4,5,"11,613",0.154
5147,AR,Woodruff County,9,10,"1,678",0.271
5149,AR,Yell County,6,5,"3,265",0.156
6000,CA,California,,,"4,560,419",0.118
6001,CA,Alameda County,1,1,"146,315",0.089
6003,CA,Alpine County,8,4,193,0.172
6005,CA,Amador County,6,4,"3,462",0.098
6007,CA,Butte County,3,2,"34,503",0.161
6009,CA,Calaveras County,6,6,"5,477",0.121
6011,CA,Colusa County,6,4,"2,554",0.12
6013,CA,Contra Costa County,1,1,"90,482",0.079
6015,CA,Del Norte County,7,8,"4,445",0.179
6017,CA,El Dorado County,1,1,"16,649",0.087
6019,CA,Fresno County,2,2,"200,873",0.205
6021,CA,Glenn County,6,6,"3,397",0.121
6023,CA,Humboldt County,5,8,"25,136",0.191
6025,CA,Imperial County,3,2,"38,020",0.22
6027,CA,Inyo County,7,11,"2,071",0.117
6029,CA,Kern County,2,2,"164,817",0.19
6031,CA,Kings County,3,2,"21,840",0.16
6033,CA,Lake County,4,5,"11,622",0.183
6035,CA,Lassen County,7,8,"3,789",0.165
6037,CA,Los Angeles County,1,1,"1,319,242",0.134
6039,CA,Madera County,3,2,"26,309",0.176
6041,CA,Marin County,1,1,"17,357",0.069
6043,CA,Mariposa County,8,7,"2,565",0.151
6045,CA,Mendocino County,4,5,"11,980",0.14
6047,CA,Merced County,2,2,"46,011",0.17
6049,CA,Modoc County,6,6,"1,757",0.205
6051,CA,Mono County,7,11,"1,437",0.101
6053,CA,Monterey County,2,2,"52,484",0.126
6055,CA,Napa County,3,2,"9,897",0.074
6057,CA,Nevada County,4,3,"9,268",0.094
6059,CA,Orange County,1,1,"297,658",0.095
6061,CA,Placer County,1,1,"26,170",0.066
6063,CA,Plumas County,7,12,"2,432",0.132
6065,CA,Riverside County,1,1,"274,953",0.113
6067,CA,Sacramento County,1,1,"192,993",0.126
6069,CA,San Benito County,1,1,"6,518",0.104
6071,CA,San Bernardino County,1,1,"284,359",0.133
6073,CA,San Diego County,1,1,"335,034",0.103
6075,CA,San Francisco County,1,1,"82,616",0.095
6077,CA,San Joaquin County,2,2,"101,772",0.136
6079,CA,San Luis Obispo County,2,2,"31,180",0.116
6081,CA,San Mateo County,1,1,"46,328",0.061
6083,CA,Santa Barbara County,2,2,"51,298",0.12
6085,CA,Santa Clara County,1,1,"116,401",0.061
6087,CA,Santa Cruz County,2,2,"27,531",0.106
6089,CA,Shasta County,3,2,"23,508",0.133
6091,CA,Sierra County,8,7,375,0.127
6093,CA,Siskiyou County,6,6,"7,484",0.174
6095,CA,Solano County,2,2,"39,018",0.09
6097,CA,Sonoma County,2,2,"34,758",0.072
6099,CA,Stanislaus County,2,2,"70,741",0.13
6101,CA,Sutter County,3,2,"12,310",0.128
6103,CA,Tehama County,4,5,"10,484",0.163
6105,CA,Trinity County,8,6,"1,986",0.165
6107,CA,Tulare County,2,2,"86,940",0.189
6109,CA,Tuolumne County,4,5,"5,781",0.113
6111,CA,Ventura County,2,2,"68,482",0.082
6113,CA,Yolo County,1,1,"35,608",0.169
6115,CA,Yuba County,3,2,"11,748",0.152
8000,CO,Colorado,,,"531,331",0.094
8001,CO,Adams County,1,1,"47,464",0.093
8003,CO,Alamosa County,7,11,"3,019",0.196
8005,CO,Arapahoe County,1,1,"47,072",0.072
8007,CO,Archuleta County,7,10,"1,502",0.108
8009,CO,Baca County,9,12,675,0.193
8011,CO,Bent County,7,12,"1,354",0.344
8013,CO,Boulder County,2,2,"33,965",0.107
8014,CO,Broomfield County,1,1,"2,865",0.041
8015,CO,Chaffee County,7,11,"2,070",0.11
8017,CO,Cheyenne County,9,12,243,0.137
8019,CO,Clear Creek County,1,1,709,0.074
8021,CO,Conejos County,9,12,"1,624",0.199
8023,CO,Costilla County,9,12,955,0.246
8025,CO,Crowley County,8,7,"1,249",0.4
8027,CO,Custer County,8,7,577,0.118
8029,CO,Delta County,6,6,"4,602",0.151
8031,CO,Denver County,1,1,"86,020",0.121
8033,CO,Dolores County,9,12,262,0.128
8035,CO,Douglas County,1,1,"9,622",0.027
8037,CO,Eagle County,5,8,"4,365",0.079
8039,CO,Elbert County,1,1,"1,514",0.057
8041,CO,El Paso County,2,2,"61,692",0.088
8043,CO,Fremont County,4,5,"6,361",0.161
8045,CO,Garfield County,5,8,"5,694",0.096
8047,CO,Gilpin County,1,1,421,0.068
8049,CO,Grand County,7,10,"1,271",0.081
8051,CO,Gunnison County,7,11,"1,920",0.116
8053,CO,Hinsdale County,9,12,72,0.089
8055,CO,Huerfano County,6,6,"1,349",0.2
8057,CO,Jackson County,9,10,175,0.126
8059,CO,Jefferson County,1,1,"41,258",0.072
8061,CO,Kiowa County,9,12,188,0.135
8063,CO,Kit Carson County,7,11,927,0.132
8065,CO,Lake County,6,4,913,0.114
8067,CO,La Plata County,4,5,"6,127",0.113
8069,CO,Larimer County,2,2,"35,894",0.103
8071,CO,Las Animas County,7,11,"2,407",0.176
8073,CO,Lincoln County,8,7,793,0.17
8075,CO,Logan County,7,8,"2,389",0.129
8077,CO,Mesa County,3,2,"16,840",0.112
8079,CO,Mineral County,9,12,72,0.094
8081,CO,Moffat County,7,8,"1,611",0.122
8083,CO,Montezuma County,6,6,"3,856",0.149
8085,CO,Montrose County,4,5,"5,565",0.132
8087,CO,Morgan County,6,3,"3,386",0.119
8089,CO,Otero County,6,6,"4,297",0.242
8091,CO,Ouray County,9,10,342,0.069
8093,CO,Park County,1,1,"1,602",0.086
8095,CO,Phillips County,9,10,435,0.104
8097,CO,Pitkin County,7,8,"1,099",0.062
8099,CO,Prowers County,7,11,"2,159",0.182
8101,CO,Pueblo County,3,2,"29,187",0.178
8103,CO,Rio Blanco County,9,10,624,0.103
8105,CO,Rio Grande County,7,11,"1,591",0.144
8107,CO,Routt County,7,8,"1,820",0.072
8109,CO,Saguache County,9,12,"1,726",0.254
8111,CO,San Juan County,9,10,99,0.137
8113,CO,San Miguel County,9,12,804,0.099
8115,CO,Sedgwick County,9,10,323,0.146
8117,CO,Summit County,5,8,"1,963",0.064
8119,CO,Teller County,2,2,"1,990",0.079
8121,CO,Washington County,9,10,556,0.118
8123,CO,Weld County,2,2,"26,547",0.084
8125,CO,Yuma County,7,11,"1,255",0.128
9000,CT,Connecticut,,,"343,101",0.099
9001,CT,Fairfield County,2,2,"83,047",0.09
9003,CT,Hartford County,1,1,"93,694",0.108
9005,CT,Litchfield County,4,3,"12,741",0.071
9007,CT,Middlesex County,1,1,"11,024",0.07
9009,CT,New Haven County,2,2,"99,423",0.12
9011,CT,New London County,2,2,"19,739",0.078
9013,CT,Tolland County,1,1,"10,559",0.078
9015,CT,Windham County,2,2,"12,874",0.115
10000,DE,Delaware,,,"106,227",0.112
10001,DE,Kent County,3,2,"22,195",0.127
10003,DE,New Castle County,1,1,"56,289",0.104
10005,DE,Sussex County,2,2,"27,742",0.121
11000,DC,District of Columbia,,,"94,985",0.141
11001,DC,District of Columbia,1,1,"94,985",0.141
12000,FL,Florida,,,"2,681,832",0.127
12001,FL,Alachua County,2,2,"46,916",0.184
12003,FL,Baker County,1,1,"3,914",0.149
12005,FL,Bay County,3,2,"20,643",0.121
12007,FL,Bradford County,6,4,"5,011",0.21
12009,FL,Brevard County,2,2,"55,578",0.094
12011,FL,Broward County,1,1,"237,486",0.123
12013,FL,Calhoun County,6,6,"2,508",0.203
12015,FL,Charlotte County,3,2,"21,188",0.114
12017,FL,Citrus County,3,2,"22,291",0.152
12019,FL,Clay County,1,1,"18,095",0.083
12021,FL,Collier County,2,2,"35,928",0.094
12023,FL,Columbia County,4,3,"10,338",0.156
12027,FL,DeSoto County,6,5,"7,626",0.218
12029,FL,Dixie County,6,7,"3,338",0.222
12031,FL,Duval County,1,1,"126,963",0.135
12033,FL,Escambia County,2,2,"46,519",0.155
12035,FL,Flagler County,2,2,"11,049",0.097
12037,FL,Franklin County,6,6,"1,995",0.192
12039,FL,Gadsden County,2,2,"8,472",0.197
12041,FL,Gilchrist County,2,2,"2,601",0.15
12043,FL,Glades County,6,4,"2,377",0.193
